ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
D_29,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_3,Myrmeleon_hyalinus,3,29,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_32,Myrmeleon_hyalinus,2,29,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_33,Myrmeleon_hyalinus,3,29,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_35,Myrmeleon_hyalinus,1,29,20.48,30.98,34.75,37.97,37.34,38.11,0,41.12,41.6,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,
D_37,Myrmeleon_hyalinus,2,29,0,19.29,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
D_39,Myrmeleon_hyalinus,3,29,0,0,0,0,0,P,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,
D_41,Myrmeleon_hyalinus,3,29,0,0,0,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
D_44,Myrmeleon_hyalinus,3,29,0,0,0,0,0,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_46,Myrmeleon_hyalinus,3,29,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_48,Myrmeleon_hyalinus,3,29,0,0,,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_5,Myrmeleon_hyalinus,3,29,0,14.51,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_50,Myrmeleon_hyalinus,3,29,0,0,0,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
