ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
D_7,Myrmeleon_hyalinus,3,33,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_72,Myrmeleon_hyalinus,1,33,19.07,0,0,0,0,24.82,42.59,43.16,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_73,Myrmeleon_hyalinus,3,33,43.5,0,0,0,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_75,Myrmeleon_hyalinus,3,33,0,0,0,36.29,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_78,Myrmeleon_hyalinus,3,33,28.6,0,0,0,0,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_8,Myrmeleon_hyalinus,1,33,22.58,23.12,25.44,28.22,15.78,10.36,36.6,41.91,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_81,Myrmeleon_hyalinus,3,33,35.2,20.56,9.46,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_83,Myrmeleon_hyalinus,3,33,38.32,0,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_85,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_87,Myrmeleon_hyalinus,3,33,18.78,0,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_89,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_9,Myrmeleon_hyalinus,2,33,47.47,33.4,36.04,46.8,34.56,38.59,47.34,44.06,36.79,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_91,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_93,Myrmeleon_hyalinus,3,33,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_95,Myrmeleon_hyalinus,3,33,41.33,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_97,Myrmeleon_hyalinus,3,33,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_99,Myrmeleon_hyalinus,3,33,36.36,22.68,0,0,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_1,Myrmeleon_almohadarum,3,33,55.11,46.1,48.73,50.45,12.85,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_11,Myrmeleon_almohadarum,2,33,18.15,14.79,33.58,48.49,51.21,56.93,56.6,41.11,48.62,48.84,0,0,NA,68.12,57.16,NA,57.37,42.7,NA,51.8,0,0,P,,,,,,,,,,,,,,I,,,,,,,,
P_12,Myrmeleon_almohadarum,1,33,37.26,43.54,37.94,29.75,32.85,38.16,0,0,42.11,0,0,0,NA,49.15,44.97,NA,43.86,40.21,NA,41.47,NA,62.48,42.28,40.82,NA,56.39,NA,52.22,63.49,NA,53.52,55.31,50.78,0,0,0,0,0,0,0,P,,,,I
P_13,Myrmeleon_almohadarum,3,33,63.91,52.86,58.05,64.08,61.26,58.29,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_15,Myrmeleon_almohadarum,2,33,44.58,70.75,69.47,68.01,72.84,74.45,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
P_16,Myrmeleon_almohadarum,2,33,61.12,53.17,55.83,56.95,46.25,44.19,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_21,Myrmeleon_almohadarum,3,33,62.8,67.46,70.36,72.95,66.21,50.08,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
P_24,Myrmeleon_almohadarum,1,33,41.79,23.91,0,0,22.54,49.83,57.57,58.13,59.33,48.27,NA,51.37,NA,38.1,44.2,NA,42.49,0,NA,24.47,NA,0,0,0,0,0,0,P,,,,,,,,,,,,,I,,,,
P_3,Myrmeleon_almohadarum,3,33,51.26,54.27,56.2,57.85,60.36,62.78,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
P_5,Myrmeleon_almohadarum,3,33,50.31,56.06,55.74,54,56.08,58.42,0,0,0,0,0,0,P,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,
P_7,Myrmeleon_almohadarum,2,33,0,50.25,54.94,56.09,63.49,67.63,69.74,66.9,74.34,52.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,
P_9,Myrmeleon_almohadarum,3,33,56.48,65.36,63.36,61.48,34.85,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
